id,title,category,year,venue,pdf_present,page_present,pdf_path,page_path,golf_fit
rnd_gaussian_avatar,Relightable and Dynamic Gaussian Avatar Reconstruction from Monocular Video,relightable_human,2025,SIGGRAPH Asia 2025 / arXiv 2025,true,true,papers/rnd_gaussian_avatar-relightable-and-dynamic-gaussian-avatar-reconstruction-from-monocular-video.pdf,pages/rnd_gaussian_avatar-relightable-and-dynamic-gaussian-avatar-reconstruction-from-monocular-video.html,Very High
rogsplat,RoGSplat: Learning Robust Generalizable Human Gaussian Splatting from Sparse Multi-View Images,sparse_multiview_2025,2025,CVPR 2025,true,true,papers/rogsplat-rogsplat-learning-robust-generalizable-human-gaussian-splatting-from-sparse-mult.pdf,pages/rogsplat-rogsplat-learning-robust-generalizable-human-gaussian-splatting-from-sparse-mult.html,Very High
sceneshine,SceneShine: Illumination-aware Human-Scene Gaussian Re-Splatting from Mobile Device Video,frontier_2026,2026,WACV 2026,true,true,papers/sceneshine-sceneshine-illumination-aware-human-scene-gaussian-re-splatting-from-mobile-devi.pdf,pages/sceneshine-sceneshine-illumination-aware-human-scene-gaussian-re-splatting-from-mobile-devi.html,Medium
sgia,Surfel-based Gaussian Inverse Rendering for Fast and Relightable Dynamic Human Reconstruction from Monocular Video,relightable_human,2025,TPAMI 2025 / arXiv 2024,true,true,papers/sgia-surfel-based-gaussian-inverse-rendering-for-fast-and-relightable-dynamic-human-r.pdf,pages/sgia-surfel-based-gaussian-inverse-rendering-for-fast-and-relightable-dynamic-human-r.html,High
spacetime_gs,Spacetime Gaussian Feature Splatting for Real-Time Dynamic View Synthesis,general_4dgs,2024,CVPR 2024,true,true,papers/spacetime_gs-spacetime-gaussian-feature-splatting-for-real-time-dynamic-view-synthesis.pdf,pages/spacetime_gs-spacetime-gaussian-feature-splatting-for-real-time-dynamic-view-synthesis.html,Medium
splattingavatar,SplattingAvatar: Realistic Real-Time Human Avatars with Mesh-Embedded Gaussian Splatting,human_gs_2024,2024,CVPR 2024,true,true,papers/splattingavatar-splattingavatar-realistic-real-time-human-avatars-with-mesh-embedded-gaussian-sp.pdf,pages/splattingavatar-splattingavatar-realistic-real-time-human-avatars-with-mesh-embedded-gaussian-sp.html,High
uma,UMA: Ultra-detailed Human Avatars via Multi-level Surface Alignment,frontier_2025,2025,arXiv 2025,true,true,papers/uma-uma-ultra-detailed-human-avatars-via-multi-level-surface-alignment.pdf,pages/uma-uma-ultra-detailed-human-avatars-via-multi-level-surface-alignment.html,Very High
v3,V^3: Viewing Volumetric Videos on Mobiles via Streamable 2D Dynamic Gaussians,volumetric_video,2024,SIGGRAPH Asia 2024 / TOG,true,true,papers/v3-v-3-viewing-volumetric-videos-on-mobiles-via-streamable-2d-dynamic-gaussians.pdf,pages/v3-v-3-viewing-volumetric-videos-on-mobiles-via-streamable-2d-dynamic-gaussians.html,High
vid2avatar_pro,Vid2Avatar-Pro: Authentic Avatar from Videos in the Wild via Universal Prior,monocular_human_2025,2025,CVPR 2025,true,true,papers/vid2avatar_pro-vid2avatar-pro-authentic-avatar-from-videos-in-the-wild-via-universal-prior.pdf,pages/vid2avatar_pro-vid2avatar-pro-authentic-avatar-from-videos-in-the-wild-via-universal-prior.html,High
wonderhuman,WonderHuman: Hallucinating Unseen Parts in Dynamic 3D Human Reconstruction,monocular_human_2025,2025,arXiv 2025,true,true,papers/wonderhuman-wonderhuman-hallucinating-unseen-parts-in-dynamic-3d-human-reconstruction.pdf,pages/wonderhuman-wonderhuman-hallucinating-unseen-parts-in-dynamic-3d-human-reconstruction.html,High
