id,category,title,year,venue,pdf_url,page_url,relevance,golf_fit
rmavatar,monocular_human_2025,RMAvatar: Photorealistic Human Avatar Reconstruction from Monocular Video Based on Rectified Mesh-embedded Gaussians,2025,Computers & Graphics 2025,https://arxiv.org/pdf/2501.07104.pdf,https://rm-avatar.github.io/,Monocular mesh-embedded GS method focused on photorealism.,High
rnd_gaussian_avatar,relightable_human,Relightable and Dynamic Gaussian Avatar Reconstruction from Monocular Video,2025,SIGGRAPH Asia 2025 / arXiv 2025,https://arxiv.org/pdf/2512.09335.pdf,https://arxiv.org/abs/2512.09335,Latest monocular relightable dynamic Gaussian avatar paper.,Very High
rogsplat,sparse_multiview_2025,RoGSplat: Learning Robust Generalizable Human Gaussian Splatting from Sparse Multi-View Images,2025,CVPR 2025,https://openaccess.thecvf.com/content/CVPR2025/papers/Xiao_RoGSplat_Learning_Robust_Generalizable_Human_Gaussian_Splatting_from_Sparse_Multi-View_CVPR_2025_paper.pdf,https://arxiv.org/abs/2503.14198,Sparse multi-view human GS with generalization focus.,Very High
sceneshine,frontier_2026,SceneShine: Illumination-aware Human-Scene Gaussian Re-Splatting from Mobile Device Video,2026,WACV 2026,https://openaccess.thecvf.com/content/WACV2026/papers/Ren_SceneShine_Illumination-aware_Human_Scene_Gaussian_Re-Splatting_from_Mobile_Device_Video_WACV_2026_paper.pdf,https://openaccess.thecvf.com/content/WACV2026/html/Ren_SceneShine_Illumination-aware_Human_Scene_Gaussian_Re-Splatting_from_Mobile_Device_Video_WACV_2026_paper.html,Recent mobile-video human-scene relightable re-splatting paper.,Medium
sgia,relightable_human,Surfel-based Gaussian Inverse Rendering for Fast and Relightable Dynamic Human Reconstruction from Monocular Video,2025,TPAMI 2025 / arXiv 2024,https://arxiv.org/pdf/2407.15212.pdf,https://arxiv.org/abs/2407.15212,Relightable monocular dynamic human reconstruction using surfel-based Gaussian inverse rendering.,High
spacetime_gs,general_4dgs,Spacetime Gaussian Feature Splatting for Real-Time Dynamic View Synthesis,2024,CVPR 2024,https://openaccess.thecvf.com/content/CVPR2024/papers/Li_Spacetime_Gaussian_Feature_Splatting_for_Real-Time_Dynamic_View_Synthesis_CVPR_2024_paper.pdf,https://oppo-us-research.github.io/SpacetimeGaussians-website/,General dynamic GS with strong quality/compactness tradeoffs.,Medium
splattingavatar,human_gs_2024,SplattingAvatar: Realistic Real-Time Human Avatars with Mesh-Embedded Gaussian Splatting,2024,CVPR 2024,https://openaccess.thecvf.com/content/CVPR2024/papers/Shao_SplattingAvatar_Realistic_Real-Time_Human_Avatars_with_Mesh-Embedded_Gaussian_Splatting_CVPR_2024_paper.pdf,https://arxiv.org/abs/2403.05087,Mesh-embedded GS avatar model; relevant to detail retention and controllability.,High
uma,frontier_2025,UMA: Ultra-detailed Human Avatars via Multi-level Surface Alignment,2025,arXiv 2025,https://pure.mpg.de/pubman/item/item_3661830_1/component/file_3661831/arXiv%3A2506.01802.pdf,https://vcai.mpi-inf.mpg.de/projects/UMA/,Current frontier for ultra-detailed human avatars from multi-view videos.,Very High
v3,volumetric_video,V^3: Viewing Volumetric Videos on Mobiles via Streamable 2D Dynamic Gaussians,2024,SIGGRAPH Asia 2024 / TOG,https://arxiv.org/pdf/2409.13648.pdf,https://authoritywang.github.io/v3/,Volumetric video representation/compression and playback reference.,High
vid2avatar_pro,monocular_human_2025,Vid2Avatar-Pro: Authentic Avatar from Videos in the Wild via Universal Prior,2025,CVPR 2025,https://openaccess.thecvf.com/content/CVPR2025/papers/Guo_Vid2Avatar-Pro_Authentic_Avatar_from_Videos_in_the_Wild_via_Universal_CVPR_2025_paper.pdf,https://arxiv.org/abs/2503.01610,Strong current monocular avatar method using learned universal priors.,High
wonderhuman,monocular_human_2025,WonderHuman: Hallucinating Unseen Parts in Dynamic 3D Human Reconstruction,2025,arXiv 2025,https://arxiv.org/pdf/2502.01045.pdf,https://arxiv.org/abs/2502.01045,Monocular method explicitly targeting unseen-body hallucination.,High
